epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9555,2.11073,4.47178,2.20437,0.00143,0.42857,0.14968,0.05099,3.07713,4.51752,2.9967,0.00034,0.00034,0.00034
2,134.32,1.19995,2.92896,1.36299,0.00314,0.94286,0.11573,0.05503,1.70086,3.69293,2.13336,0.0006307,0.0006307,0.0006307
3,199.775,0.7006,1.87696,1.0057,0.73667,0.88571,0.84434,0.51205,1.2731,2.84059,1.39264,0.00085012,0.00085012,0.00085012
4,264.756,0.65073,1.58498,0.93343,1,0.93542,0.94508,0.88293,0.60296,1.35118,0.89285,0.00099826,0.00099826,0.00099826
5,330.17,0.62387,1.3977,0.91452,0.99828,0.94286,0.94573,0.86453,0.59256,1.093,0.85557,0.00107512,0.00107512,0.00107512
6,395.447,0.53729,1.29653,0.87602,0.99745,0.94286,0.98987,0.92392,0.48169,0.88944,0.81286,0.00101,0.00101,0.00101
7,462.271,0.49425,1.15955,0.86841,0.99679,0.94286,0.97929,0.90405,0.40691,0.93044,0.78811,0.000812,0.000812,0.000812
8,531.048,0.45469,1.09461,0.83776,0.9978,0.94286,0.99007,0.92194,0.42282,0.84543,0.79033,0.000614,0.000614,0.000614
9,598.859,0.45103,1.05391,0.84624,1,0.96959,0.99444,0.91264,0.41085,0.77907,0.78234,0.000416,0.000416,0.000416
10,667.861,0.40861,1.04296,0.82563,0.99868,1,0.995,0.93757,0.35128,0.73616,0.77684,0.000218,0.000218,0.000218
